school_id,school_name,school_conference,sets_played,match_win,match_loss,ttl_ace,ace_set,ttl_assist,assist_set,ttl_soloblock,ttl_blockassist,block_set,ttl_dig,dig_set,ttl_attkill,ttl_atterror,ttl_attack,attack_percentage,attack_set,attkill_set,win_percentage,ttl_oppkill,ttl_oppatterror,ttl_oppattack,oppattack_percentage
t268,Western Ore.,GNAC,110,15,12,270,2.45,1283,11.66,36,325,1.8,1579,14.35,1368,565,3810,0.211,34.64,12.44,0.555555556,1249,567,3653,0.187
t269,Western Wash.,GNAC,87,12,12,149,1.71,1014,11.66,24,296,1.98,1314,15.1,1089,472,3114,0.198,35.79,12.52,0.5,1064,424,3012,0.212
t270,Westminster (UT),RMAC,97,11,15,177,1.82,1107,11.41,69,165,1.56,1624,16.74,1200,565,3778,0.168,38.95,12.37,0.423076923,1174,495,3535,0.192
t271,Westmont,PacWest,100,14,13,149,1.49,1093,10.93,69,338,2.38,1474,14.74,1185,506,3409,0.199,34.09,11.85,0.518518519,1248,568,3597,0.189
t272,Wheeling,Mountain East,137,27,11,166,1.21,1757,12.82,62,431,2.03,2455,17.92,1848,596,4954,0.253,36.16,13.49,0.710526316,1736,816,5371,0.171
t273,William Jewell,GLVC,101,7,22,126,1.25,1089,10.78,39,279,1.77,1530,15.15,1180,584,3648,0.163,36.12,11.68,0.24137931,1381,471,3642,0.25
t274,Wilmington (DE),CACC,114,11,20,192,1.68,1131,9.92,49,363,2.02,1606,14.09,1202,587,3728,0.165,32.7,10.54,0.35483871,1508,633,4101,0.213
t275,Wingate,South Atlantic,116,31,3,223,1.92,1590,13.71,45,361,1.94,2151,18.54,1695,443,4345,0.288,37.46,14.61,0.911764706,1199,639,4406,0.127
t276,Winona St.,NSIC,113,18,12,181,1.6,1346,11.91,88,242,1.85,1906,16.87,1456,634,4278,0.192,37.86,12.88,0.6,1324,559,4083,0.187
t277,Winston-Salem,CIAA,93,14,11,145,1.56,940,10.11,65,170,1.61,1509,16.23,1037,543,3506,0.141,37.7,11.15,0.56,1092,549,3561,0.152
t278,Wis.-Parkside,GLIAC,104,11,17,202,1.94,1170,11.25,62,248,1.79,1739,16.72,1255,566,3818,0.18,36.71,12.07,0.392857143,1282,515,3817,0.201
t279,Young Harris,Conference Carolinas,86,6,16,117,1.36,886,10.3,62,134,1.5,1422,16.53,949,468,3192,0.151,37.12,11.03,0.272727273,1137,451,3284,0.209
