school_id,school_name,school_conference,sets_played,match_win,match_loss,ttl_ace,ace_set,ttl_assist,assist_set,ttl_soloblock,ttl_blockassist,block_set,ttl_dig,dig_set,ttl_attkill,ttl_atterror,ttl_attack,attack_percentage,attack_set,attkill_set,win_percentage,ttl_oppkill,ttl_oppatterror,ttl_oppattack,oppattack_percentage
t076,Drury,GLVC,106,14,13,154,1.45,1162,10.96,61,348,2.22,1976,18.64,1295,587,4008,0.177,37.81,12.22,0.518518519,1321,585,4221,0.174
t077,D'Youville,ECC,106,13,16,203,1.92,1116,10.53,74,204,1.66,1618,15.26,1194,577,3647,0.169,34.41,11.26,0.448275862,1299,567,3705,0.198
t078,East Central,Great American,117,18,14,173,1.48,1337,11.43,56,324,1.86,2056,17.57,1449,629,4571,0.179,39.07,12.38,0.5625,1525,619,4561,0.199
t079,East Stroudsburg,PSAC,96,20,8,205,2.14,1100,11.46,74,258,2.11,1567,16.32,1174,422,3350,0.224,34.9,12.23,0.714285714,1082,575,3504,0.145
t080,Eastern N.M.,Lone Star,96,5,22,114,1.19,883,9.2,45,203,1.53,1453,15.14,975,529,3366,0.133,35.06,10.16,0.185185185,1327,467,3559,0.242
t081,Eckerd,Sunshine State,100,14,14,206,2.06,1112,11.12,32,238,1.51,1505,15.05,1209,559,3521,0.185,35.21,12.09,0.5,1173,486,3368,0.204
t082,Edinboro,PSAC,105,14,13,163,1.55,1200,11.43,64,235,1.73,1700,16.19,1280,571,3796,0.187,36.15,12.19,0.518518519,1219,555,3727,0.178
t083,Edward Waters,SIAC,108,8,22,177,1.64,1029,9.53,82,180,1.59,1465,13.56,1155,632,3691,0.142,34.18,10.69,0.266666667,1288,561,3618,0.201
t084,Elizabeth City St.,CIAA,106,11,18,161,1.52,1055,9.95,96,261,2.14,1855,17.5,1152,700,3903,0.116,36.82,10.87,0.379310345,1205,655,4092,0.134
t085,Embry-Riddle (FL),Sunshine State,113,21,10,215,1.9,1423,12.59,34,459,2.33,1796,15.89,1501,608,4092,0.218,36.21,13.28,0.677419355,1284,607,3980,0.17
t086,Emmanuel (GA),Conference Carolinas,112,21,10,211,1.88,1352,12.07,43,367,2.02,1824,16.29,1441,482,4033,0.238,36.01,12.87,0.677419355,1267,621,4036,0.16
t087,Emory & Henry,South Atlantic,98,5,23,106,1.08,835,8.52,80,240,2.04,1505,15.36,933,575,3469,0.103,35.4,9.52,0.178571429,1356,592,3768,0.203
t088,Emporia St.,MIAA,103,17,10,154,1.5,1306,12.68,34,324,1.9,1701,16.51,1387,597,3934,0.201,38.19,13.47,0.62962963,1243,475,3707,0.207
t089,Erskine,Conference Carolinas,100,6,22,158,1.58,953,9.53,43,127,1.07,1338,13.38,1010,567,3344,0.132,33.44,10.1,0.214285714,1238,435,3236,0.248
t090,Fairmont St.,Mountain East,122,18,14,176,1.44,1497,12.27,52,406,2.09,2271,18.61,1607,651,4834,0.198,39.62,13.17,0.5625,1456,710,4861,0.153
t091,Fayetteville St.,CIAA,83,18,5,178,2.14,896,10.8,66,178,1.87,1357,16.35,984,449,3053,0.175,36.78,11.86,0.782608696,810,481,2933,0.112
t092,Felician,CACC,107,9,20,217,2.03,983,9.19,69,203,1.59,1553,14.51,1065,611,3715,0.122,34.72,9.95,0.310344828,1234,571,3650,0.182
t093,Ferris St.,GLIAC,120,34,1,246,2.05,1470,12.25,96,319,2.13,1823,15.19,1639,453,3951,0.3,32.93,13.66,0.971428571,1305,653,4086,0.16
t094,Findlay,G-MAC,122,24,9,239,1.96,1603,13.14,76,221,1.53,1811,14.84,1714,597,4341,0.257,35.58,14.05,0.727272727,1398,599,4080,0.196
t095,Fla. Southern,Sunshine State,104,15,13,187,1.8,1126,10.83,78,298,2.18,1521,14.63,1219,562,3508,0.187,33.73,11.72,0.535714286,1223,582,3551,0.181
t096,Flagler,Peach Belt,101,15,11,189,1.87,1152,11.41,45,310,1.98,1489,14.74,1243,477,3486,0.22,34.51,12.31,0.576923077,1168,530,3452,0.185
t097,Florida Tech,Sunshine State,116,20,10,187,1.61,1321,11.39,81,424,2.53,1951,16.82,1426,572,4135,0.207,35.65,12.29,0.666666667,1410,662,4298,0.174
t098,Fort Hays St.,MIAA,102,12,14,127,1.25,1182,11.59,56,312,2.08,1680,16.47,1295,557,3864,0.191,37.88,12.7,0.461538462,1435,554,3935,0.224
